acc_kept,analysis_type,coverage,dataset,method,n_seeds,rejection_rate,selective_risk
0.9995412186379926,discrete_operating_point_not_continuous_AURC,1.0,F_new,kmeans,5,0.0,0.00045878136200738773
0.9995373917464146,discrete_operating_point_not_continuous_AURC,0.991584229390681,F_new,any2,5,0.008415770609318998,0.0004626082535853504
0.99945188512845,discrete_operating_point_not_continuous_AURC,0.7869677419354839,F_new,all3,5,0.21303225806451614,0.0005481148715500428
0.9994135617923435,discrete_operating_point_not_continuous_AURC,0.7869677419354839,F_new,kmeans_distance_reject,5,0.21303225806451614,0.00058643820765647
0.9618185416048284,discrete_operating_point_not_continuous_AURC,1.0,V_new,kmeans,5,0.0,0.03818145839517162
0.9621707700449773,discrete_operating_point_not_continuous_AURC,0.9976946670624319,V_new,any2,5,0.002305332937568022,0.03782922995502269
0.9784723731185527,discrete_operating_point_not_continuous_AURC,0.8999109528049867,V_new,all3,5,0.10008904719501337,0.02152762688144727
0.9701995198206314,discrete_operating_point_not_continuous_AURC,0.8999109528049867,V_new,kmeans_distance_reject,5,0.10008904719501337,0.02980048017936865
0.8786486486486487,discrete_operating_point_not_continuous_AURC,1.0,M_new_drop5_drop7,kmeans,5,0.0,0.12135135135135133
0.8791613964205862,discrete_operating_point_not_continuous_AURC,0.9982882882882883,M_new_drop5_drop7,any2,5,0.001711711711711712,0.12083860357941378
0.9072478565502676,discrete_operating_point_not_continuous_AURC,0.9060810810810811,M_new_drop5_drop7,all3,5,0.09391891891891892,0.09275214344973237
0.892518635825622,discrete_operating_point_not_continuous_AURC,0.9060810810810811,M_new_drop5_drop7,kmeans_distance_reject,5,0.09391891891891892,0.10748136417437804
0.9988739946380697,discrete_operating_point_not_continuous_AURC,1.0,G_new,kmeans,5,0.0,0.0011260053619303045
0.9988509860463889,discrete_operating_point_not_continuous_AURC,0.9800536193029491,G_new,any2,5,0.019946380697050937,0.001149013953611111
0.9985935076001597,discrete_operating_point_not_continuous_AURC,0.7609651474530831,G_new,all3,5,0.2390348525469169,0.0014064923998402534
0.9993686599286624,discrete_operating_point_not_continuous_AURC,0.7609651474530831,G_new,kmeans_distance_reject,5,0.2390348525469169,0.0006313400713375827
