dataset,reduction,runs,acc_kept_mean,acc_kept_std,rejection_rate_mean,rejection_rate_std,overall_accuracy_mean,overall_accuracy_std,ari_kept_mean,ari_kept_std,nmi_kept_mean,nmi_kept_std,ami_kept_mean,ami_kept_std,order
F_new,raw,5,0.9997880915515989,9.94965817063749e-06,0.21166666666666661,0.039005127868012426,0.7881666666666667,0.03900512786801241,0.4485292672787236,0.02967632429733726,0.8035445272128238,0.00888002485799737,0.8022918893699293,0.008942256597442588,0
F_new,pca,5,0.998282838276514,0.0005473776928607704,0.2539666666666667,0.040341514321822126,0.7447666666666667,0.04052922128264714,0.4934277476395317,0.03369053621977536,0.8130732753047549,0.009457755934867198,0.8118437133414187,0.009536661776129633,1
F_new,umap,5,0.9973242681458453,0.00034843833300054485,0.2476,0.04570200579113933,0.7504,0.0457973313147781,0.4473553138802794,0.014328750840891726,0.8030827987021475,0.0030732635912533155,0.8018062974619877,0.003100610685075999,2
G_new,raw,5,0.9996801110067624,0.00016036314073905142,0.339195710455764,0.02847553532339039,0.6605898123324397,0.02839748344793946,0.37348498343740233,0.016291503477356785,0.6675647581141647,0.006922758971746863,0.6657486517536022,0.0069229064130910236,0
G_new,pca,5,0.9995225998096661,0.0004044883736758441,0.3126005361930296,0.01955818741001554,0.687077747989276,0.019769023250334465,0.36978231046664745,0.008876420505058678,0.6666312878749905,0.004706067758303596,0.6649163851414426,0.004781719628005239,1
G_new,umap,5,0.9985935076001597,0.0004431322733532524,0.2390348525469169,0.049335178627536704,0.7598927613941019,0.049234842827201954,0.343130201248652,0.011048566253601592,0.6566772759734844,0.005527234691145093,0.6552140723464261,0.005509096069251465,2
M_new_drop5_drop7,raw,5,0.9027559159520283,0.010032927747122715,0.2277927927927928,0.02536624033733722,0.6970720720720721,0.022699306195233977,0.562624629696125,0.026718326053449704,0.7817789781458175,0.008639560252180026,0.7799807323989467,0.008737330966431854,0
M_new_drop5_drop7,pca,5,0.8853749994293786,0.013249868939528073,0.23806306306306307,0.02589286988692547,0.6746846846846847,0.02692646456468826,0.5617016355743263,0.019391528575568005,0.7775552740386996,0.007337768321591052,0.7756897073909983,0.00739196386355433,1
M_new_drop5_drop7,umap,5,0.9072478565502676,0.013281091384243398,0.09391891891891893,0.04513122386894077,0.8214414414414415,0.028891893296476987,0.5781800357410658,0.03520554543798487,0.7817321108377359,0.017017829185325087,0.7801211625527171,0.0171094232950025,2
V_new,raw,5,0.9784160622037685,0.0035064449826564172,0.2597333333333333,0.036058840802222145,0.7242333333333333,0.03420893320627101,0.7218784083478489,0.020465380748590615,0.8941513922949318,0.008824243357303422,0.8932475458383378,0.00893238882886241,0
V_new,pca,5,0.9587389049836059,0.00789913785530445,0.24723333333333333,0.020270284764759592,0.7216333333333333,0.017529467254375465,0.6888388108131321,0.03345359762426914,0.8730882030213459,0.012982507530626327,0.8720293256677246,0.013091115950456974,1
V_new,umap,5,0.981161832601245,0.004207460485421242,0.13163333333333332,0.021919651254322256,0.852,0.021507363080272453,0.6315006969375663,0.030999363686562545,0.8721211656153433,0.0046609230380210915,0.8711444402485828,0.004700232719597895,2
